               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089259,             0.02308,                   0,             0.33191,             0.52741,             0.30179,             0.11411,            0.057797,            0.013681,                   0,            0.070291,            0.003301,            0.003301
                   1,            0.056095,            0.017251,                   0,              0.7091,             0.72148,             0.75511,             0.26792,            0.049489,            0.010275,                   0,            0.040072,           0.0064154,           0.0064154
                   2,            0.047238,            0.014182,                   0,             0.65593,             0.76741,             0.79955,             0.42703,            0.041935,           0.0080028,                   0,           0.0096334,           0.0093098,           0.0093098
                   3,            0.040926,            0.011382,                   0,             0.86667,             0.92445,             0.93632,             0.54881,            0.028434,           0.0066576,                   0,             0.00901,             0.00901,             0.00901
                   4,            0.035605,           0.0093432,                   0,             0.92212,             0.95111,             0.95512,             0.60925,            0.027919,           0.0059816,                   0,             0.00901,             0.00901,             0.00901
                   5,            0.031809,           0.0082637,                   0,             0.93694,             0.93333,             0.96427,             0.61217,            0.028667,           0.0057651,                   0,             0.00868,             0.00868,             0.00868
                   6,            0.029575,           0.0076487,                   0,             0.92104,             0.95704,             0.96873,             0.70387,            0.022959,           0.0052692,                   0,             0.00835,             0.00835,             0.00835
                   7,            0.027345,           0.0072272,                   0,             0.93436,             0.97004,             0.97715,             0.75544,            0.018984,           0.0049469,                   0,             0.00802,             0.00802,             0.00802
                   8,            0.026143,           0.0073038,                   0,             0.93263,             0.93481,             0.96848,              0.7594,            0.019553,           0.0050052,                   0,             0.00769,             0.00769,             0.00769
                   9,            0.025698,            0.006848,                   0,             0.92682,             0.95694,             0.97303,              0.7393,             0.01996,           0.0049409,                   0,             0.00736,             0.00736,             0.00736
                  10,            0.024271,           0.0067425,                   0,             0.95381,             0.94832,             0.98188,             0.79432,            0.016685,           0.0046266,                   0,             0.00703,             0.00703,             0.00703
                  11,            0.022927,           0.0062208,                   0,             0.93505,             0.94519,             0.97774,             0.75501,            0.018663,           0.0046514,                   0,              0.0067,              0.0067,              0.0067
                  12,            0.021685,           0.0060665,                   0,              0.9396,             0.94493,             0.96543,             0.78377,            0.016432,           0.0046262,                   0,             0.00637,             0.00637,             0.00637
                  13,             0.02133,            0.006066,                   0,             0.94257,             0.94222,             0.97534,             0.79646,            0.015665,           0.0044472,                   0,             0.00604,             0.00604,             0.00604
                  14,            0.020457,           0.0059872,                   0,             0.96371,              0.9437,             0.98306,             0.81739,            0.015127,           0.0042316,                   0,             0.00571,             0.00571,             0.00571
                  15,            0.019615,           0.0057656,                   0,             0.95748,             0.95556,             0.98783,             0.79547,            0.017266,           0.0042233,                   0,             0.00538,             0.00538,             0.00538
                  16,            0.019206,           0.0056248,                   0,             0.95249,             0.95037,             0.98268,             0.83609,            0.014171,           0.0040995,                   0,             0.00505,             0.00505,             0.00505
                  17,            0.018429,           0.0055864,                   0,             0.94358,             0.95407,             0.97639,             0.83187,            0.013855,            0.004054,                   0,             0.00472,             0.00472,             0.00472
                  18,            0.017687,           0.0054766,                   0,             0.93414,             0.96296,              0.9803,             0.84058,             0.01393,           0.0039893,                   0,             0.00439,             0.00439,             0.00439
                  19,            0.017143,           0.0053364,                   0,             0.95298,             0.95852,             0.98419,             0.84944,            0.013373,           0.0037924,                   0,             0.00406,             0.00406,             0.00406
                  20,            0.016863,           0.0052174,                   0,              0.9627,             0.95604,             0.98636,             0.85118,             0.01321,            0.003797,                   0,             0.00373,             0.00373,             0.00373
                  21,            0.016375,           0.0052559,                   0,             0.96081,             0.95259,             0.98275,             0.81889,            0.014699,           0.0039184,                   0,              0.0034,              0.0034,              0.0034
                  22,            0.015685,           0.0048965,                   0,             0.95556,             0.95561,             0.98409,             0.84908,            0.013143,           0.0037941,                   0,             0.00307,             0.00307,             0.00307
                  23,            0.015232,           0.0049632,                   0,             0.95418,             0.95643,              0.9816,             0.84449,            0.013062,             0.00375,                   0,             0.00274,             0.00274,             0.00274
                  24,            0.015034,            0.004784,                   0,             0.94182,             0.97185,             0.98396,             0.85167,            0.013521,           0.0037398,                   0,             0.00241,             0.00241,             0.00241
                  25,            0.014533,           0.0047523,                   0,             0.95687,             0.95309,             0.98266,              0.8604,            0.012174,           0.0036533,                   0,             0.00208,             0.00208,             0.00208
                  26,            0.014817,             0.00475,                   0,             0.94207,             0.96374,             0.98156,             0.84973,            0.013052,           0.0037121,                   0,             0.00175,             0.00175,             0.00175
                  27,             0.01418,           0.0047287,                   0,             0.94576,             0.96148,             0.98045,             0.85074,            0.012813,           0.0036932,                   0,             0.00142,             0.00142,             0.00142
                  28,            0.014013,           0.0045802,                   0,             0.94646,                0.96,             0.98325,             0.85574,            0.012405,           0.0036507,                   0,             0.00109,             0.00109,             0.00109
                  29,            0.013602,           0.0044898,                   0,             0.94613,              0.9628,             0.98496,             0.86919,            0.012355,           0.0036037,                   0,             0.00076,             0.00076,             0.00076
